precision,recall,f1,accuracy,tp,fp,fn,tn,n,threshold
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.7
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.71
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.72
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.73
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.74
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.75
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.76
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.77
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.78
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.79
0.9615384615384616,0.43859649122807015,0.6024096385542169,0.6972477064220184,25,1,32,51,109,0.8
0.96,0.42105263157894735,0.5853658536585366,0.6880733944954128,24,1,33,51,109,0.81
0.96,0.42105263157894735,0.5853658536585366,0.6880733944954128,24,1,33,51,109,0.82
0.9565217391304348,0.38596491228070173,0.5499999999999999,0.6697247706422018,22,1,35,51,109,0.83
0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6330275229357798,18,1,39,51,109,0.84
0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6330275229357798,18,1,39,51,109,0.85
0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6330275229357798,18,1,39,51,109,0.86
0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6330275229357798,18,1,39,51,109,0.87
0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6330275229357798,18,1,39,51,109,0.88
0.9444444444444444,0.2982456140350877,0.45333333333333325,0.6238532110091743,17,1,40,51,109,0.89
0.9444444444444444,0.2982456140350877,0.45333333333333325,0.6238532110091743,17,1,40,51,109,0.9
